s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 2.4480000E+003, 2.2400038E+002, 8.9999998E-001, 2.3669632E-011, 3.5454261E-007, 7.5088888E-002
 2.4600000E+003, 2.2500038E+002, 8.9999998E-001, 3.0549292E-011, 4.5759163E-007, 7.5088866E-002
 2.4720000E+003, 2.2600038E+002, 8.9999998E-001, 3.9388257E-011, 5.8998870E-007, 7.5088911E-002
 2.4840000E+003, 2.2700038E+002, 8.9999998E-001, 5.0733060E-011, 7.5992023E-007, 7.5088874E-002
 2.4960000E+003, 2.2800038E+002, 8.9999998E-001, 6.5279476E-011, 9.7780810E-007, 7.5088829E-002
 2.5080000E+003, 2.2900038E+002, 8.9999998E-001, 8.3912419E-011, 1.2569070E-006, 7.5088993E-002
 2.5200000E+003, 2.3000038E+002, 8.9999998E-001, 1.0775621E-010, 1.6140583E-006, 7.5089045E-002
 2.5320000E+003, 2.3100038E+002, 8.9999998E-001, 1.3823802E-010, 2.0706391E-006, 7.5089045E-002
 2.5440000E+003, 2.3200038E+002, 8.9999998E-001, 1.7716761E-010, 2.6537577E-006, 7.5089097E-002
 2.5560000E+003, 2.3300038E+002, 8.9999998E-001, 2.2683780E-010, 3.3977572E-006, 7.5089231E-002
 2.5680000E+003, 2.3400038E+002, 8.9999998E-001, 2.9015043E-010, 4.3461041E-006, 7.5089298E-002
 2.5800000E+003, 2.3500038E+002, 8.9999998E-001, 3.7077483E-010, 5.5537607E-006, 7.5089432E-002
 2.5920000E+003, 2.3600038E+002, 8.9999998E-001, 4.7334625E-010, 7.0901574E-006, 7.5089611E-002
 2.6040000E+003, 2.3700038E+002, 8.9999998E-001, 6.0371486E-010, 9.0429221E-006, 7.5089835E-002
 2.6160000E+003, 2.3800038E+002, 8.9999998E-001, 7.6925682E-010, 1.1522541E-005, 7.5090125E-002
 2.6280000E+003, 2.3900038E+002, 8.9999998E-001, 9.7926423E-010, 1.4668200E-005, 7.5090431E-002
 2.6400000E+003, 2.4000038E+002, 8.9999992E-001, 1.2454314E-009, 1.8655064E-005, 7.5090915E-002
 2.6520000E+003, 2.4100038E+002, 8.9999992E-001, 1.5824630E-009, 2.3703393E-005, 7.5091496E-002
 2.6640000E+003, 2.4200038E+002, 8.9999992E-001, 2.0088315E-009, 3.0089879E-005, 7.5092122E-002
 2.6760000E+003, 2.4300038E+002, 8.9999986E-001, 2.5477218E-009, 3.8161805E-005, 7.5093113E-002
 2.6880000E+003, 2.4400038E+002, 8.9999986E-001, 3.2282064E-009, 4.8354646E-005, 7.5094230E-002
 2.7000000E+003, 2.4500038E+002, 8.9999980E-001, 4.0867096E-009, 6.1213992E-005, 7.5095631E-002
 2.7120000E+003, 2.4600038E+002, 8.9999974E-001, 5.1688236E-009, 7.7422759E-005, 7.5097412E-002
 2.7240000E+003, 2.4700038E+002, 8.9999968E-001, 6.5315664E-009, 9.7835007E-005, 7.5099692E-002
 2.7360000E+003, 2.4800038E+002, 8.9999956E-001, 8.2461833E-009, 1.2351789E-004, 7.5102568E-002
 2.7480000E+003, 2.4900038E+002, 8.9999950E-001, 1.0401616E-008, 1.5580369E-004, 7.5106084E-002
